20:31:39.581 | INFO | LOGIC | Warming up data feeds...
20:31:39.595 | INFO | HYPERLIQUID.WS | Attempting to start public ws stream...
20:31:43.762 | INFO | hyperliquid.EXCH | Hyperliquid warmup sequence complete.
20:31:43.764 | INFO | HYPERLIQUID.WS | Subscription successful to: trades
20:31:43.765 | INFO | HYPERLIQUID.WS | Subscription successful to: l2Book
20:31:43.766 | INFO | HYPERLIQUID.WS | Subscription successful to: candle
20:31:43.766 | INFO | HYPERLIQUID.WS | Subscription successful to: webData2
20:31:43.768 | INFO | HYPERLIQUID.WS | Subscription successful to: activeAssetCtx
20:31:43.768 | INFO | HYPERLIQUID.WS | Subscription successful to: userFills
20:31:43.769 | INFO | HYPERLIQUID.WS | Subscription successful to: orderUpdates
20:31:44.759 | INFO | LOGIC | Feeds successfully warmed up.
20:31:44.759 | INFO | LOGIC | Attempting to load quote generator: sandbox
20:31:44.764 | INFO | LOGIC | Starting 'sandbox' strategy on WIF...
20:31:44.764 | INFO | LOGIC | monitor task started for hyperliquid
20:31:44.764 | INFO | LOGIC | position executor task started for hyperliquid
20:31:45.520 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=WIF, side=1, orderType=0, timeInForce=2, price=1.5431, size=28.0, orderId=None, clientOrderId=0x00000000000000000000000000989681 (10000001)), Order(symbol=WIF, side=-1, orderType=0, timeInForce=2, price=1.5455, size=28.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697f (-10000001)), Order(symbol=WIF, side=1, orderType=0, timeInForce=2, price=1.5398, size=37.0, orderId=None, clientOrderId=0x00000000000000000000000001312d01 (20000001)), Order(symbol=WIF, side=-1, orderType=0, timeInForce=2, price=1.5488, size=37.0, orderId=None, clientOrderId=0xfffffffffffffffffffffffffeced2ff (-20000001))]
20:31:45.733 | INFO | HYPERLIQUID.OMS | error with order Order: symbol=WIF, side=1, orderType=0, timeInForce=2, price=1.5398, size=37.0, orderId=None, clientOrderId=0x00000000000000000000000001312d01 (20000001): (False, {'error': 'Insufficient margin to place order. asset=98'})
20:31:45.734 | INFO | HYPERLIQUID.OMS | error with order Order: symbol=WIF, side=-1, orderType=0, timeInForce=2, price=1.5488, size=37.0, orderId=None, clientOrderId=0xfffffffffffffffffffffffffeced2ff (-20000001): (False, {'error': 'Insufficient margin to place order. asset=98'})
20:31:48.735 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=WIF, side=1, orderType=0, timeInForce=2, price=1.5397, size=37.0, orderId=None, clientOrderId=0x00000000000000000000000001312d02 (20000002)), Order(symbol=WIF, side=-1, orderType=0, timeInForce=2, price=1.5488, size=37.0, orderId=None, clientOrderId=0xfffffffffffffffffffffffffeced2fe (-20000002))]
20:31:48.775 | INFO | HYPERLIQUID.OMS | error with order Order: symbol=WIF, side=1, orderType=0, timeInForce=2, price=1.5397, size=37.0, orderId=None, clientOrderId=0x00000000000000000000000001312d02 (20000002): (False, {'error': 'Insufficient margin to place order. asset=98'})
20:31:48.775 | INFO | HYPERLIQUID.OMS | error with order Order: symbol=WIF, side=-1, orderType=0, timeInForce=2, price=1.5488, size=37.0, orderId=None, clientOrderId=0xfffffffffffffffffffffffffeced2fe (-20000002): (False, {'error': 'Insufficient margin to place order. asset=98'})
20:31:51.777 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=WIF, side=1, orderType=0, timeInForce=2, price=1.5429, size=28.0, orderId=None, clientOrderId=0x00000000000000000000000000989683 (10000003)), Order(symbol=WIF, side=-1, orderType=0, timeInForce=2, price=1.5453, size=28.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697d (-10000003)), Order(symbol=WIF, side=1, orderType=0, timeInForce=2, price=1.5396, size=37.0, orderId=None, clientOrderId=0x00000000000000000000000001312d03 (20000003)), Order(symbol=WIF, side=-1, orderType=0, timeInForce=2, price=1.5486, size=37.0, orderId=None, clientOrderId=0xfffffffffffffffffffffffffeced2fd (-20000003))]
20:31:55.013 | INFO | HYPERLIQUID.OMS | sending following orders: [Order(symbol=WIF, side=1, orderType=0, timeInForce=2, price=1.5428, size=28.0, orderId=None, clientOrderId=0x00000000000000000000000000989684 (10000004)), Order(symbol=WIF, side=-1, orderType=0, timeInForce=2, price=1.5453, size=28.0, orderId=None, clientOrderId=0xffffffffffffffffffffffffff67697c (-10000004)), Order(symbol=WIF, side=1, orderType=0, timeInForce=2, price=1.5395, size=37.0, orderId=None, clientOrderId=0x00000000000000000000000001312d04 (20000004)), Order(symbol=WIF, side=-1, orderType=0, timeInForce=2, price=1.5486, size=37.0, orderId=None, clientOrderId=0xfffffffffffffffffffffffffeced2fc (-20000004))]
20:31:55.202 | INFO | HYPERLIQUID.OMS | error with order Order: symbol=WIF, side=1, orderType=0, timeInForce=2, price=1.5395, size=37.0, orderId=None, clientOrderId=0x00000000000000000000000001312d04 (20000004): (False, {'error': 'Insufficient margin to place order. asset=98'})
20:31:55.202 | INFO | HYPERLIQUID.OMS | error with order Order: symbol=WIF, side=-1, orderType=0, timeInForce=2, price=1.5486, size=37.0, orderId=None, clientOrderId=0xfffffffffffffffffffffffffeced2fc (-20000004): (False, {'error': 'Insufficient margin to place order. asset=98'})
20:31:55.700 | CRITICAL | MM | Process manually interupted by user...
20:31:55.701 | CRITICAL | MM | Starting shutdown sequence...
20:31:55.808 | INFO | hyperliquid.EXCH | Shutdown sequence complete.
20:31:55.809 | INFO | MM | Goodnight...
